,CARRIER,CARRIER_NAME,MANUFACTURE_YEAR,OPERATING_STATUS,MANUFACTURER,MODEL,CAPACITY_IN_POUNDS
847,AA,American Airlines Inc.,2000,Y,AIRBUS,A319-132,36700
848,AA,American Airlines Inc.,2000,Y,AIRBUS,A319-132,36700
849,AA,American Airlines Inc.,2000,Y,AIRBUS,A319-132,36700
850,AA,American Airlines Inc.,2001,Y,AIRBUS,A321-211,51000
851,AA,American Airlines Inc.,2001,Y,AIRBUS,A321-211,51000
852,AA,American Airlines Inc.,2001,Y,AIRBUS,A321-211,51000
853,AA,American Airlines Inc.,2001,Y,AIRBUS,A321-211,51000
854,AA,American Airlines Inc.,2001,Y,AIRBUS,A321-211,51000
855,AA,American Airlines Inc.,2001,Y,AIRBUS,A320-232,38500
856,AA,American Airlines Inc.,2001,Y,AIRBUS,A321-211,51000
857,AA,American Airlines Inc.,2001,Y,AIRBUS,A319-132,36700
858,AA,American Airlines Inc.,2001,Y,AIRBUS,A321-211,51000
859,AA,American Airlines Inc.,2001,Y,AIRBUS,A321-211,51000
860,AA,American Airlines Inc.,2001,Y,AIRBUS,A319-132,36700
861,AA,American Airlines Inc.,2001,Y,AIRBUS,A321-211,51000
862,AA,American Airlines Inc.,2001,Y,AIRBUS,A321-211,51000
863,AA,American Airlines Inc.,2001,Y,AIRBUS,A321-211,51000
864,AA,American Airlines Inc.,2001,Y,AIRBUS,A319-132,36700
865,AA,American Airlines Inc.,2001,Y,AIRBUS,A321-211,51000
866,AA,American Airlines Inc.,2001,Y,AIRBUS,A319-132,36700
867,AA,American Airlines Inc.,2001,Y,AIRBUS,A319-132,36700
868,AA,American Airlines Inc.,2001,Y,AIRBUS,A319-132,36700
869,AA,American Airlines Inc.,2001,Y,AIRBUS,A319-132,36700
870,AA,American Airlines Inc.,2001,Y,AIRBUS,A319-132,36700
871,AA,American Airlines Inc.,2001,Y,AIRBUS,A319-132,36700
872,AA,American Airlines Inc.,2001,Y,AIRBUS,A320-232,38500
873,AA,American Airlines Inc.,2001,Y,AIRBUS,A320-232,38500
874,AA,American Airlines Inc.,2001,Y,AIRBUS,A319-132,36700
875,AA,American Airlines Inc.,2002,Y,AIRBUS,A320-232,38500
876,AA,American Airlines Inc.,2002,Y,AIRBUS,A320-232,38500
877,AA,American Airlines Inc.,2002,Y,AIRBUS,A320-232,38500
878,AA,American Airlines Inc.,2002,Y,AIRBUS,A319-132,36700
879,AA,American Airlines Inc.,2003,Y,AIRBUS,A320-232,38500
880,AA,American Airlines Inc.,2004,Y,AIRBUS,A319-132,36700
881,AA,American Airlines Inc.,2004,Y,AIRBUS,A320-232,38500
882,AA,American Airlines Inc.,2005,Y,AIRBUS,A319-132,36700
883,AA,American Airlines Inc.,2005,Y,AIRBUS,A319-132,36700
884,AA,American Airlines Inc.,2005,Y,AIRBUS,A319-132,36700
885,AA,American Airlines Inc.,2005,Y,AIRBUS,A319-132,36700
886,AA,American Airlines Inc.,2005,Y,AIRBUS,A320-232,38500
887,AA,American Airlines Inc.,2005,Y,AIRBUS,A320-232,38500
888,AA,American Airlines Inc.,2009,Y,AIRBUS,A321-231,52200
889,AA,American Airlines Inc.,1997,Y,AIRBUS,A320-232,38500
890,AA,American Airlines Inc.,2011,Y,AIRBUS,A321-231,52200
891,AA,American Airlines Inc.,2011,Y,AIRBUS,A321-231,52200
892,AA,American Airlines Inc.,1998,Y,AIRBUS,A320-232,38500
893,AA,American Airlines Inc.,2011,Y,AIRBUS,A321-231,52200
894,AA,American Airlines Inc.,2011,Y,AIRBUS,A321-231,52200
895,AA,American Airlines Inc.,2012,Y,AIRBUS,A321-231,52200
896,AA,American Airlines Inc.,2012,Y,AIRBUS,A321-231,52200
897,AA,American Airlines Inc.,1998,Y,AIRBUS,A320-214,37200
898,AA,American Airlines Inc.,1999,Y,AIRBUS,A320-214,37200
899,AA,American Airlines Inc.,2013,Y,AIRBUS,A319-115,35600
900,AA,American Airlines Inc.,1998,Y,AIRBUS,A319-112,35000
901,AA,American Airlines Inc.,2013,Y,AIRBUS,A319-115,35600
902,AA,American Airlines Inc.,2013,Y,AIRBUS,A319-115,35600
903,AA,American Airlines Inc.,2013,Y,AIRBUS,A319-115,35600
904,AA,American Airlines Inc.,1998,Y,AIRBUS,A319-112,35000
905,AA,American Airlines Inc.,2013,Y,AIRBUS,A319-115,35600
906,AA,American Airlines Inc.,2013,Y,AIRBUS,A321-231,47200
907,AA,American Airlines Inc.,2013,Y,AIRBUS,A321-231,47200
908,AA,American Airlines Inc.,2013,Y,AIRBUS,A321-231,47200
909,AA,American Airlines Inc.,2013,Y,AIRBUS,A319-115,35600
910,AA,American Airlines Inc.,2013,Y,AIRBUS,A321-231,47200
911,AA,American Airlines Inc.,2013,Y,AIRBUS,A321-231,47200
912,AA,American Airlines Inc.,1998,Y,AIRBUS,A320-232,38500
913,AA,American Airlines Inc.,2014,Y,AIRBUS,A321-231,47200
914,AA,American Airlines Inc.,2014,Y,AIRBUS,A321-231,47200
915,AA,American Airlines Inc.,2014,Y,AIRBUS,A321-231,47200
916,AA,American Airlines Inc.,1998,Y,AIRBUS,A320-232,38500
917,AA,American Airlines Inc.,2014,Y,AIRBUS,A319-115,35600
918,AA,American Airlines Inc.,2014,Y,AIRBUS,A319-115,35600
919,AA,American Airlines Inc.,2014,Y,AIRBUS,A321-231,47200
920,AA,American Airlines Inc.,2014,Y,AIRBUS,A319-115,35600
921,AA,American Airlines Inc.,1998,Y,AIRBUS,A319-132,36700
