IATA Code,Airline Name,Year,Month,Month Number,Quarter,Total Fuel Consumed (thousands of gallons),Total Cost of Fuel (dollars),Cost per Gallon (dollars),CO2 Emissions (Thousands of Gallons)
OO,SkyWest Airlines,2011,August,8,3,"10,824","38,065",3.52,34095.6
OO,SkyWest Airlines,2011,September,9,3,"9,702","33,830",3.49,30561.3
OO,SkyWest Airlines,2011,October,10,4,"9,580","32,584",3.4,30177
OO,SkyWest Airlines,2011,November,11,4,"8,992","31,893",3.55,28324.8
OO,SkyWest Airlines,2011,December,12,4,"9,564","32,777",3.43,30126.6
OO,SkyWest Airlines,2012,January,1,1,"8,836","31,083",3.52,27833.4
OO,SkyWest Airlines,2012,February,2,1,"8,422","30,833",3.66,26529.3
OO,SkyWest Airlines,2012,March,3,1,"9,514","35,675",3.75,29969.1
OO,SkyWest Airlines,2012,April,4,2,"8,920","32,554",3.65,28098
OO,SkyWest Airlines,2012,May,5,2,"9,702","34,255",3.53,30561.3
OO,SkyWest Airlines,2012,June,6,2,"10,118","32,592",3.22,31871.7
OO,SkyWest Airlines,2012,July,7,3,"6,623","22,453",3.39,20862.45
OO,SkyWest Airlines,2012,August,8,3,"4,750","18,090",3.81,14962.5
OO,SkyWest Airlines,2012,September,9,3,"4,858","18,640",3.84,15302.7
OO,SkyWest Airlines,2012,October,10,4,"3,845","14,936",3.88,12111.75
OO,SkyWest Airlines,2012,November,11,4,"3,857","14,515",3.76,12149.55
OO,SkyWest Airlines,2012,December,12,4,"3,992","15,053",3.77,12574.8
OO,SkyWest Airlines,2013,January,1,1,"3,618","13,618",3.76,11396.7
OO,SkyWest Airlines,2013,February,2,1,"3,262","13,214",4.05,10275.3
OO,SkyWest Airlines,2013,March,3,1,"3,592","13,757",3.83,11314.8
OO,SkyWest Airlines,2013,April,4,2,"3,552","12,996",3.66,11188.8
OO,SkyWest Airlines,2013,May,5,2,"3,643","13,004",3.57,11475.45
OO,SkyWest Airlines,2013,June,6,2,"3,793","13,099",3.45,11947.95
OO,SkyWest Airlines,2013,July,7,3,"4,087","14,092",3.45,12874.05
OO,SkyWest Airlines,2013,August,8,3,"4,054","14,193",3.5,12770.1
OO,SkyWest Airlines,2013,September,9,3,"3,673","13,040",3.55,11569.95
OO,SkyWest Airlines,2013,October,10,4,"3,748","13,082",3.49,11806.2
OO,SkyWest Airlines,2013,November,11,4,"3,637","12,713",3.49,11456.55
OO,SkyWest Airlines,2013,December,12,4,"3,980","13,872",3.49,12537
OO,SkyWest Airlines,2014,January,1,1,"3,826","13,373",3.5,12051.9
OO,SkyWest Airlines,2014,February,2,1,"3,525","12,408",3.52,11103.75
OO,SkyWest Airlines,2014,March,3,1,"4,217","14,611",3.46,13283.55
OO,SkyWest Airlines,2014,April,4,2,"4,545","15,623",3.44,14316.75
OO,SkyWest Airlines,2014,May,5,2,"5,003","17,461",3.49,15759.45
OO,SkyWest Airlines,2014,June,6,2,"5,063","17,915",3.54,15948.45
OO,SkyWest Airlines,2014,July,7,3,"4,869","16,304",3.35,15337.35
OO,SkyWest Airlines,2014,August,8,3,"4,594","15,974",3.48,14471.1
OO,SkyWest Airlines,2014,September,9,3,"4,255","14,508",3.41,13403.25
OO,SkyWest Airlines,2014,October,10,4,"4,479","13,850",3.09,14108.85
OO,SkyWest Airlines,2014,November,11,4,"3,968","11,854",2.99,12499.2
OO,SkyWest Airlines,2014,December,12,4,"4,339","11,271",2.6,13667.85
OO,SkyWest Airlines,2015,January,1,1,"4,129","8,970",2.17,13006.35
OO,SkyWest Airlines,2015,February,2,1,"3,726","8,198",2.2,11736.9
OO,SkyWest Airlines,2015,March,3,1,"4,114","9,230",2.24,12959.1
OO,SkyWest Airlines,2015,April,4,2,"4,221","9,038",2.14,13296.15
OO,SkyWest Airlines,2015,May,5,2,"4,400","10,861",2.47,13860
OO,SkyWest Airlines,2015,June,6,2,"4,387","10,365",2.36,13819.05
OO,SkyWest Airlines,2015,July,7,3,"5,077","11,266",2.22,15992.55
OO,SkyWest Airlines,2015,August,8,3,"5,152","10,273",1.99,16228.8
OO,SkyWest Airlines,2015,September,9,3,"5,250","9,366",1.78,16537.5
OO,SkyWest Airlines,2015,October,10,4,"4,711","9,706",2.06,14839.65
OO,SkyWest Airlines,2015,November,11,4,"4,927","9,216",1.87,15520.05
OO,SkyWest Airlines,2015,December,12,4,"5,241","8,347",1.59,16509.15
OO,SkyWest Airlines,2016,January,1,1,"5,445","8,161",1.5,17151.75
OO,SkyWest Airlines,2016,February,2,1,"5,288","7,861",1.49,16657.2
OO,SkyWest Airlines,2016,March,3,1,"6,068","8,768",1.44,19114.2
OO,SkyWest Airlines,2016,April,4,2,"6,079","9,365",1.54,19148.85
OO,SkyWest Airlines,2016,May,5,2,"6,375","10,830",1.7,20081.25
OO,SkyWest Airlines,2016,June,6,2,"6,377","11,480",1.8,20087.55
OO,SkyWest Airlines,2016,July,7,3,"6,490","11,648",1.79,20443.5
OO,SkyWest Airlines,2016,August,8,3,"6,549","11,535",1.76,20629.35
OO,SkyWest Airlines,2016,September,9,3,"5,644","8,966",1.59,17778.6
OO,SkyWest Airlines,2016,October,10,4,"5,715","10,322",1.81,18002.25
OO,SkyWest Airlines,2016,November,11,4,"5,342","9,644",1.81,16827.3
OO,SkyWest Airlines,2016,December,12,4,"5,655","10,848",1.92,17813.25
OO,SkyWest Airlines,2017,January,1,1,"5,631","11,006",1.95,17737.65
OO,SkyWest Airlines,2017,February,2,1,"5,229","10,372",1.98,16471.35
OO,SkyWest Airlines,2017,March,3,1,"6,327","12,209",1.93,19930.05
OO,SkyWest Airlines,2017,April,4,2,"6,298","12,295",1.95,19838.7
OO,SkyWest Airlines,2017,May,5,2,"6,493","12,279",1.89,20452.95
OO,SkyWest Airlines,2017,June,6,2,"6,696","11,959",1.79,21092.4
OO,SkyWest Airlines,2017,July,7,3,"6,864","12,687",1.85,21621.6
OO,SkyWest Airlines,2017,August,8,3,"6,940","13,771",1.98,21861
OO,SkyWest Airlines,2017,September,9,3,"7,302","15,464",2.12,23001.3
OO,SkyWest Airlines,2017,October,10,4,"7,732","16,346",2.11,24355.8
OO,SkyWest Airlines,2017,November,11,4,"7,368","16,037",2.18,23209.2
OO,SkyWest Airlines,2017,December,12,4,"7,379","16,612",2.25,23243.85
OO,SkyWest Airlines,2018,January,1,1,"7,719","18,509",2.4,24314.85
OO,SkyWest Airlines,2018,February,2,1,"7,207","16,861",2.34,22702.05
OO,SkyWest Airlines,2018,March,3,1,"8,110","18,507",2.28,25546.5
OO,SkyWest Airlines,2018,April,4,2,"7,897","18,718",2.37,24875.55
OO,SkyWest Airlines,2018,May,5,2,"8,258","21,499",2.6,26012.7
OO,SkyWest Airlines,2018,June,6,2,"8,108","20,727",2.56,25540.2
OO,SkyWest Airlines,2018,July,7,3,"8,254","20,895",2.53,26000.1
OO,SkyWest Airlines,2018,August,8,3,"8,455","21,656",2.56,26633.25
OO,SkyWest Airlines,2018,September,9,3,"8,232","21,211",2.58,25930.8
OO,SkyWest Airlines,2018,October,10,4,"8,642","23,651",2.74,27222.3
OO,SkyWest Airlines,2018,November,11,4,"8,304","21,469",2.59,26157.6
OO,SkyWest Airlines,2018,December,12,4,"8,478","19,096",2.25,26705.7
OO,SkyWest Airlines,2019,January,1,1,"8,150","17,780",2.18,25672.5
OO,SkyWest Airlines,2019,February,2,1,"7,503","17,050",2.27,23634.45
OO,SkyWest Airlines,2019,March,3,1,"8,559","20,654",2.41,26960.85
OO,SkyWest Airlines,2019,April,4,2,"8,263","20,297",2.46,26028.45
OO,SkyWest Airlines,2019,May,5,2,"8,838","22,437",2.54,27839.7
OO,SkyWest Airlines,2019,June,6,2,"8,915","20,779",2.33,28082.25
OO,SkyWest Airlines,2019,July,7,3,"9,566","21,469",2.24,30132.9
OO,SkyWest Airlines,2019,August,8,3,"8,791","21,267",2.42,27691.65
OO,SkyWest Airlines,2019,September,9,3,"8,835","20,314",2.3,27830.25
OO,SkyWest Airlines,2019,October,10,4,"9,278","21,936",2.36,29225.7
OO,SkyWest Airlines,2019,November,11,4,"8,528","19,832",2.33,26863.2
OO,SkyWest Airlines,2019,December,12,4,"8,960","21,638",2.41,28224
WN,Southwest Airlines,2010,January,1,1,"110,707","263,646",2.38,348727.05
WN,Southwest Airlines,2010,February,2,1,"98,385","232,684",2.37,309912.75
WN,Southwest Airlines,2010,March,3,1,"120,122","285,021",2.37,378384.3
WN,Southwest Airlines,2010,April,4,2,"119,272","286,486",2.4,375706.8
WN,Southwest Airlines,2010,May,5,2,"125,546","310,942",2.48,395469.9
WN,Southwest Airlines,2010,June,6,2,"126,930","294,300",2.32,399829.5
WN,Southwest Airlines,2010,July,7,3,"130,299","302,289",2.32,410441.85
WN,Southwest Airlines,2010,August,8,3,"126,992","302,269",2.38,400024.8
WN,Southwest Airlines,2010,September,9,3,"117,235","278,409",2.37,369290.25
WN,Southwest Airlines,2010,October,10,4,"122,422","294,790",2.41,385629.3
WN,Southwest Airlines,2010,November,11,4,"118,223","290,225",2.45,372402.45
WN,Southwest Airlines,2010,December,12,4,"120,570","313,448",2.6,379795.5
WN,Southwest Airlines,2011,January,1,1,"118,506","311,076",2.62,373293.9
WN,Southwest Airlines,2011,February,2,1,"106,882","286,083",2.68,336678.3
WN,Southwest Airlines,2011,March,3,1,"130,243","388,635",2.98,410265.45
WN,Southwest Airlines,2011,April,4,2,"128,067","405,490",3.17,403411.05
WN,Southwest Airlines,2011,May,5,2,"131,070","422,417",3.22,412870.5
WN,Southwest Airlines,2011,June,6,2,"134,089","429,056",3.2,422380.35
WN,Southwest Airlines,2011,July,7,3,"137,211","418,218",3.05,432214.65
WN,Southwest Airlines,2011,August,8,3,"131,446","415,625",3.16,414054.9
WN,Southwest Airlines,2011,September,9,3,"121,107","405,860",3.35,381487.05
WN,Southwest Airlines,2011,October,10,4,"126,966","393,304",3.1,399942.9
WN,Southwest Airlines,2011,November,11,4,"119,129","380,345",3.19,375256.35
WN,Southwest Airlines,2011,December,12,4,"122,167","400,801",3.28,384826.05
WN,Southwest Airlines,2012,January,1,1,"116,468","376,354",3.23,366874.2
WN,Southwest Airlines,2012,February,2,1,"112,991","379,447",3.36,355921.65
WN,Southwest Airlines,2012,March,3,1,"130,906","423,754",3.24,412353.9
WN,Southwest Airlines,2012,April,4,2,"156,948","517,147",3.3,494386.2
WN,Southwest Airlines,2012,May,5,2,"162,973","510,931",3.14,513364.95
WN,Southwest Airlines,2012,June,6,2,"164,822","487,157",2.96,519189.3
WN,Southwest Airlines,2012,July,7,3,"170,893","498,512",2.92,538312.95
WN,Southwest Airlines,2012,August,8,3,"162,458","497,717",3.06,511742.7
WN,Southwest Airlines,2012,September,9,3,"144,274","474,627",3.29,454463.1
WN,Southwest Airlines,2012,October,10,4,"151,149","512,450",3.39,476119.35
WN,Southwest Airlines,2012,November,11,4,"143,927","456,390",3.17,453370.05
WN,Southwest Airlines,2012,December,12,4,"148,598","479,859",3.23,468083.7
WN,Southwest Airlines,2013,January,1,1,"140,581","444,847",3.16,442830.15
WN,Southwest Airlines,2013,February,2,1,"130,977","440,516",3.36,412577.55
WN,Southwest Airlines,2013,March,3,1,"160,607","516,869",3.22,505912.05
WN,Southwest Airlines,2013,April,4,2,"156,689","463,022",2.96,493570.35
WN,Southwest Airlines,2013,May,5,2,"159,365","480,724",3.02,501999.75
WN,Southwest Airlines,2013,June,6,2,"162,156","467,340",2.88,510791.4
WN,Southwest Airlines,2013,July,7,3,"167,115","488,562",2.92,526412.25
WN,Southwest Airlines,2013,August,8,3,"157,428","468,336",2.97,495898.2
WN,Southwest Airlines,2013,September,9,3,"141,434","435,749",3.08,445517.1
WN,Southwest Airlines,2013,October,10,4,"149,773","444,989",2.97,471784.95
WN,Southwest Airlines,2013,November,11,4,"140,998","418,427",2.97,444143.7
WN,Southwest Airlines,2013,December,12,4,"151,369","448,512",2.96,476812.35
WN,Southwest Airlines,2014,January,1,1,"135,525","399,403",2.95,426903.75
WN,Southwest Airlines,2014,February,2,1,"127,528","383,879",3.01,401713.2
WN,Southwest Airlines,2014,March,3,1,"159,341","475,165",2.98,501924.15
WN,Southwest Airlines,2014,April,4,2,"153,184","449,062",2.93,482529.6
WN,Southwest Airlines,2014,May,5,2,"155,040","456,766",2.95,488376
WN,Southwest Airlines,2014,June,6,2,"161,153","463,254",2.87,507631.95
WN,Southwest Airlines,2014,July,7,3,"167,846","484,935",2.89,528714.9
WN,Southwest Airlines,2014,August,8,3,"154,944","443,872",2.86,488073.6
WN,Southwest Airlines,2014,September,9,3,"142,797","404,105",2.83,449810.55
WN,Southwest Airlines,2014,October,10,4,"149,286","395,409",2.65,470250.9
WN,Southwest Airlines,2014,November,11,4,"147,219","366,725",2.49,463739.85
WN,Southwest Airlines,2014,December,12,4,"146,834","350,417",2.39,462527.1
WN,Southwest Airlines,2015,January,1,1,"143,199","278,641",1.95,451076.85
WN,Southwest Airlines,2015,February,2,1,"128,293","247,634",1.93,404122.95
WN,Southwest Airlines,2015,March,3,1,"162,791","306,044",1.88,512791.65
WN,Southwest Airlines,2015,April,4,2,"160,305","294,147",1.83,504960.75
WN,Southwest Airlines,2015,May,5,2,"163,419","329,110",2.01,514769.85
WN,Southwest Airlines,2015,June,6,2,"168,906","332,387",1.97,532053.9
WN,Southwest Airlines,2015,July,7,3,"177,607","337,287",1.9,559462.05
WN,Southwest Airlines,2015,August,8,3,"164,849","289,834",1.76,519274.35
WN,Southwest Airlines,2015,September,9,3,"150,845","260,708",1.73,475161.75
WN,Southwest Airlines,2015,October,10,4,"157,972","257,752",1.63,497611.8
WN,Southwest Airlines,2015,November,11,4,"158,790","255,554",1.61,500188.5
WN,Southwest Airlines,2015,December,12,4,"163,761","239,223",1.46,515847.15
WN,Southwest Airlines,2016,January,1,1,"154,182","277,287",1.8,485673.3
WN,Southwest Airlines,2016,February,2,1,"145,494","252,888",1.74,458306.1
WN,Southwest Airlines,2016,March,3,1,"172,388","283,544",1.64,543022.2
WN,Southwest Airlines,2016,April,4,2,"165,867","262,365",1.58,522481.05
WN,Southwest Airlines,2016,May,5,2,"170,080","285,224",1.68,535752
WN,Southwest Airlines,2016,June,6,2,"176,999","310,304",1.75,557546.85
WN,Southwest Airlines,2016,July,7,3,"181,275","318,785",1.76,571016.25
WN,Southwest Airlines,2016,August,8,3,"171,759","295,569",1.72,541040.85
WN,Southwest Airlines,2016,September,9,3,"159,490","282,938",1.77,502393.5
WN,Southwest Airlines,2016,October,10,4,"164,348","299,839",1.82,517696.2
WN,Southwest Airlines,2016,November,11,4,"163,801","298,110",1.82,515973.15
WN,Southwest Airlines,2016,December,12,4,"170,252","312,431",1.84,536293.8
WN,Southwest Airlines,2017,January,1,1,"163,465","290,811",1.78,514914.75
WN,Southwest Airlines,2017,February,2,1,"146,059","269,082",1.84,460085.85
WN,Southwest Airlines,2017,March,3,1,"177,694","319,283",1.8,559736.1
WN,Southwest Airlines,2017,April,4,2,"176,070","319,190",1.81,554620.5
WN,Southwest Airlines,2017,May,5,2,"176,525","313,284",1.77,556053.75
WN,Southwest Airlines,2017,June,6,2,"182,619","308,375",1.69,575249.85
WN,Southwest Airlines,2017,July,7,3,"188,673","319,611",1.69,594319.95
WN,Southwest Airlines,2017,August,8,3,"178,305","326,729",1.83,561660.75
WN,Southwest Airlines,2017,September,9,3,"154,403","302,643",1.96,486369.45
WN,Southwest Airlines,2017,October,10,4,"165,801","320,963",1.94,522273.15
WN,Southwest Airlines,2017,November,11,4,"165,467","327,536",1.98,521221.05
WN,Southwest Airlines,2017,December,12,4,"169,466","329,539",1.94,533817.9
WN,Southwest Airlines,2018,January,1,1,"162,973","319,314",1.96,513364.95
WN,Southwest Airlines,2018,February,2,1,"146,855","295,452",2.01,462593.25
WN,Southwest Airlines,2018,March,3,1,"179,276","351,123",1.96,564719.4
WN,Southwest Airlines,2018,April,4,2,"176,451","353,689",2,555820.65
WN,Southwest Airlines,2018,May,5,2,"181,645","385,341",2.12,572181.75
WN,Southwest Airlines,2018,June,6,2,"184,788","402,316",2.18,582082.2
WN,Southwest Airlines,2018,July,7,3,"191,804","408,793",2.13,604182.6
WN,Southwest Airlines,2018,August,8,3,"179,272","389,067",2.17,564706.8
WN,Southwest Airlines,2018,September,9,3,"163,979","351,889",2.15,516533.85
WN,Southwest Airlines,2018,October,10,4,"176,692","389,707",2.21,556579.8
WN,Southwest Airlines,2018,November,11,4,"174,941","391,766",2.24,551064.15
WN,Southwest Airlines,2018,December,12,4,"175,645","357,070",2.03,553281.75
WN,Southwest Airlines,2019,January,1,1,"164,667","315,329",1.91,518701.05
WN,Southwest Airlines,2019,February,2,1,"148,568","293,363",1.97,467989.2
WN,Southwest Airlines,2019,March,3,1,"180,169","358,985",1.99,567532.35
WN,Southwest Airlines,2019,April,4,2,"173,333","348,144",2.01,545998.95
WN,Southwest Airlines,2019,May,5,2,"179,821","377,963",2.1,566436.15
WN,Southwest Airlines,2019,June,6,2,"179,030","357,769",2,563944.5
WN,Southwest Airlines,2019,July,7,3,"184,999","368,234",1.99,582746.85
WN,Southwest Airlines,2019,August,8,3,"176,921","346,717",1.96,557301.15
WN,Southwest Airlines,2019,September,9,3,"162,399","319,394",1.97,511556.85
WN,Southwest Airlines,2019,October,10,4,"176,367","349,198",1.98,555556.05
WN,Southwest Airlines,2019,November,11,4,"170,521","341,317",2,537141.15
WN,Southwest Airlines,2019,December,12,4,"179,723","364,234",2.03,566127.45
NK,Spirit Air Lines,2010,January,1,1,"8,035","21,040",2.62,25310.25
NK,Spirit Air Lines,2010,February,2,1,"7,299","13,573",1.86,22991.85
NK,Spirit Air Lines,2010,March,3,1,"8,865","19,243",2.17,27924.75
NK,Spirit Air Lines,2010,April,4,2,"8,771","19,642",2.24,27628.65
NK,Spirit Air Lines,2010,May,5,2,"8,927","24,747",2.77,28120.05
NK,Spirit Air Lines,2010,June,6,2,"7,267","16,306",2.24,22891.05
NK,Spirit Air Lines,2010,July,7,3,"10,076","21,761",2.16,31739.4
NK,Spirit Air Lines,2010,August,8,3,"9,899","25,601",2.59,31181.85
NK,Spirit Air Lines,2010,September,9,3,"8,816","16,203",1.84,27770.4
NK,Spirit Air Lines,2010,October,10,4,"9,233","23,296",2.52,29083.95
NK,Spirit Air Lines,2010,November,11,4,"9,507","23,004",2.42,29947.05
NK,Spirit Air Lines,2010,December,12,4,"9,933","23,747",2.39,31288.95
NK,Spirit Air Lines,2011,January,1,1,"9,388","24,012",2.56,29572.2
NK,Spirit Air Lines,2011,February,2,1,"8,345","23,177",2.78,26286.75
NK,Spirit Air Lines,2011,March,3,1,"8,345","23,177",2.78,26286.75
NK,Spirit Air Lines,2011,April,4,2,"10,404","35,539",3.42,32772.6
NK,Spirit Air Lines,2011,May,5,2,"10,519","36,753",3.49,33134.85
NK,Spirit Air Lines,2011,June,6,2,"10,341","35,030",3.39,32574.15
NK,Spirit Air Lines,2011,July,7,3,"11,426","37,689",3.3,35991.9
NK,Spirit Air Lines,2011,August,8,3,"11,084","35,785",3.23,34914.6
NK,Spirit Air Lines,2011,September,9,3,"9,130","31,510",3.45,28759.5
NK,Spirit Air Lines,2011,October,10,4,"9,451","27,652",2.93,29770.65
NK,Spirit Air Lines,2011,November,11,4,"9,772","32,732",3.35,30781.8
NK,Spirit Air Lines,2011,December,12,4,"10,729","34,565",3.22,33796.35
NK,Spirit Air Lines,2012,January,1,1,"10,410","32,736",3.14,32791.5
NK,Spirit Air Lines,2012,February,2,1,"10,187","33,612",3.3,32089.05
NK,Spirit Air Lines,2012,March,3,1,"12,133","42,377",3.49,38218.95
NK,Spirit Air Lines,2012,April,4,2,"11,811","41,254",3.49,37204.65
NK,Spirit Air Lines,2012,May,5,2,"11,878","43,156",3.63,37415.7
NK,Spirit Air Lines,2012,June,6,2,"12,140","35,823",2.95,38241
NK,Spirit Air Lines,2012,July,7,3,"13,331","39,449",2.96,41992.65
NK,Spirit Air Lines,2012,August,8,3,"13,140","42,257",3.22,41391
NK,Spirit Air Lines,2012,September,9,3,"11,290","40,281",3.57,35563.5
NK,Spirit Air Lines,2012,October,10,4,"11,453","39,797",3.47,36076.95
NK,Spirit Air Lines,2012,November,11,4,"12,147","38,925",3.2,38263.05
NK,Spirit Air Lines,2012,December,12,4,"13,070","42,066",3.22,41170.5
NK,Spirit Air Lines,2013,January,1,1,"12,696","41,991",3.31,39992.4
NK,Spirit Air Lines,2013,February,2,1,"11,917","41,564",3.49,37538.55
NK,Spirit Air Lines,2013,March,3,1,"14,015","48,110",3.43,44147.25
NK,Spirit Air Lines,2013,April,4,2,"13,666","46,362",3.39,43047.9
NK,Spirit Air Lines,2013,May,5,2,"14,324","44,506",3.11,45120.6
NK,Spirit Air Lines,2013,June,6,2,"14,693","44,385",3.02,46282.95
NK,Spirit Air Lines,2013,July,7,3,"15,951","48,894",3.07,50245.65
NK,Spirit Air Lines,2013,August,8,3,"15,709","49,109",3.13,49483.35
NK,Spirit Air Lines,2013,September,9,3,"13,862","46,983",3.39,43665.3
NK,Spirit Air Lines,2013,October,10,4,"14,337","43,855",3.06,45161.55
NK,Spirit Air Lines,2013,November,11,4,"14,992","45,766",3.05,47224.8
NK,Spirit Air Lines,2013,December,12,4,"15,768","50,223",3.19,49669.2
NK,Spirit Air Lines,2014,January,1,1,"15,903","50,724",3.19,50094.45
NK,Spirit Air Lines,2014,February,2,1,"14,389","45,845",3.19,45325.35
NK,Spirit Air Lines,2014,March,3,1,"16,385","51,903",3.17,51612.75
NK,Spirit Air Lines,2014,April,4,2,"15,925","49,678",3.12,50163.75
NK,Spirit Air Lines,2014,May,5,2,"16,784","52,571",3.13,52869.6
NK,Spirit Air Lines,2014,June,6,2,"16,692","52,603",3.15,52579.8
NK,Spirit Air Lines,2014,July,7,3,"17,316","54,172",3.13,54545.4
NK,Spirit Air Lines,2014,August,8,3,"18,059","67,342",3.73,56885.85
NK,Spirit Air Lines,2014,September,9,3,"16,311","50,063",3.07,51379.65
NK,Spirit Air Lines,2014,October,10,4,"16,943","47,034",2.78,53370.45
NK,Spirit Air Lines,2014,November,11,4,"17,566","46,836",2.67,55332.9
NK,Spirit Air Lines,2014,December,12,4,"18,223","44,027",2.42,57402.45
NK,Spirit Air Lines,2015,January,1,1,"19,041","38,304",2.01,59979.15
NK,Spirit Air Lines,2015,February,2,1,"17,590","28,831",1.64,55408.5
NK,Spirit Air Lines,2015,March,3,1,"20,093","45,290",2.25,63292.95
NK,Spirit Air Lines,2015,April,4,2,"20,332","36,495",1.79,64045.8
NK,Spirit Air Lines,2015,May,5,2,"21,819","47,929",2.2,68729.85
NK,Spirit Air Lines,2015,June,6,2,"20,923","43,091",2.06,65907.45
NK,Spirit Air Lines,2015,July,7,3,"22,618","42,300",1.87,71246.7
NK,Spirit Air Lines,2015,August,8,3,"23,634","39,375",1.67,74447.1
NK,Spirit Air Lines,2015,September,9,3,"21,431","34,218",1.6,67507.65
NK,Spirit Air Lines,2015,October,10,4,"21,955","35,805",1.63,69158.25
NK,Spirit Air Lines,2015,November,11,4,"22,066","35,333",1.6,69507.9
NK,Spirit Air Lines,2015,December,12,4,"22,447","34,077",1.52,70708.05
NK,Spirit Air Lines,2016,January,1,1,"23,517","29,254",1.24,74078.55
NK,Spirit Air Lines,2016,February,2,1,"21,981","25,893",1.18,69240.15
NK,Spirit Air Lines,2016,March,3,1,"20,051","30,834",1.54,63160.65
NK,Spirit Air Lines,2016,April,4,2,"24,715","32,468",1.31,77852.25
NK,Spirit Air Lines,2016,May,5,2,"26,414","39,436",1.49,83204.1
NK,Spirit Air Lines,2016,June,6,2,"25,884","41,287",1.6,81534.6
NK,Spirit Air Lines,2016,July,7,3,"26,510","42,443",1.6,83506.5
NK,Spirit Air Lines,2016,August,8,3,"27,159","40,968",1.51,85550.85
NK,Spirit Air Lines,2016,September,9,3,"24,619","38,433",1.56,77549.85
NK,Spirit Air Lines,2016,October,10,4,"24,718","41,067",1.66,77861.7
NK,Spirit Air Lines,2016,November,11,4,"25,214","39,656",1.57,79424.1
NK,Spirit Air Lines,2016,December,12,4,"26,998","45,812",1.7,85043.7
NK,Spirit Air Lines,2017,January,1,1,"26,627","46,027",1.73,83875.05
NK,Spirit Air Lines,2017,February,2,1,"24,596","45,333",1.84,77477.4
NK,Spirit Air Lines,2017,March,3,1,"27,841","48,421",1.74,87699.15
NK,Spirit Air Lines,2017,April,4,2,"27,726","48,152",1.74,87336.9
NK,Spirit Air Lines,2017,May,5,2,"28,240","46,221",1.64,88956
NK,Spirit Air Lines,2017,June,6,2,"30,742","47,920",1.56,96837.3
NK,Spirit Air Lines,2017,July,7,3,"31,994","50,680",1.58,100781.1
NK,Spirit Air Lines,2017,August,8,3,"32,149","56,710",1.76,101269.35
NK,Spirit Air Lines,2017,September,9,3,"26,132","50,910",1.95,82315.8
NK,Spirit Air Lines,2017,October,10,4,"29,292","55,850",1.91,92269.8
NK,Spirit Air Lines,2017,November,11,4,"29,149","57,270",1.96,91819.35
NK,Spirit Air Lines,2017,December,12,4,"30,398","62,085",2.04,95753.7
NK,Spirit Air Lines,2018,January,1,1,"31,610","69,563",2.2,99571.5
NK,Spirit Air Lines,2018,February,2,1,"29,760","64,842",2.18,93744
NK,Spirit Air Lines,2018,March,3,1,"33,633","70,241",2.09,105943.95
NK,Spirit Air Lines,2018,April,4,2,"33,992","74,290",2.19,107074.8
NK,Spirit Air Lines,2018,May,5,2,"35,522","84,672",2.38,111894.3
NK,Spirit Air Lines,2018,June,6,2,"36,630","87,218",2.38,115384.5
NK,Spirit Air Lines,2018,July,7,3,"38,797","91,322",2.35,122210.55
NK,Spirit Air Lines,2018,August,8,3,"38,982","91,481",2.35,122793.3
NK,Spirit Air Lines,2018,September,9,3,"31,826","76,016",2.39,100251.9
NK,Spirit Air Lines,2018,October,10,4,"31,720","79,410",2.5,99918
NK,Spirit Air Lines,2018,November,11,4,"33,984","78,409",2.31,107049.6
NK,Spirit Air Lines,2018,December,12,4,"35,891","71,861",2,113056.65
NK,Spirit Air Lines,2019,January,1,1,"35,863","71,242",1.99,112968.45
NK,Spirit Air Lines,2019,February,2,1,"33,591","71,408",2.13,105811.65
NK,Spirit Air Lines,2019,March,3,1,"40,375","86,986",2.15,127181.25
NK,Spirit Air Lines,2019,April,4,2,"38,671","85,020",2.2,121813.65
NK,Spirit Air Lines,2019,May,5,2,"42,123","94,758",2.25,132687.45
NK,Spirit Air Lines,2019,June,6,2,"41,652","85,227",2.05,131203.8
NK,Spirit Air Lines,2019,July,7,3,"43,349","91,576",2.11,136549.35
NK,Spirit Air Lines,2019,August,8,3,"42,825","88,844",2.07,134898.75
NK,Spirit Air Lines,2019,September,9,3,"35,899","73,427",2.05,113081.85
NK,Spirit Air Lines,2019,October,10,4,"37,763","79,878",2.12,118953.45
NK,Spirit Air Lines,2019,November,11,4,"38,789","80,509",2.08,122185.35
NK,Spirit Air Lines,2019,December,12,4,"40,038","84,602",2.11,126119.7
UA,United Air Lines,2010,January,1,1,"150,840","318,439",2.11,475146
UA,United Air Lines,2010,February,2,1,"132,847","277,446",2.09,418468.05
UA,United Air Lines,2010,March,3,1,"158,736","339,115",2.14,500018.4
UA,United Air Lines,2010,April,4,2,"155,224","347,198",2.24,488955.6
UA,United Air Lines,2010,May,5,2,"169,233","384,506",2.27,533083.95
UA,United Air Lines,2010,June,6,2,"170,942","371,902",2.18,538467.3
UA,United Air Lines,2010,July,7,3,"179,158","387,712",2.16,564347.7
UA,United Air Lines,2010,August,8,3,"177,446","383,844",2.16,558954.9
UA,United Air Lines,2010,September,9,3,"162,831","356,475",2.19,512917.65
UA,United Air Lines,2010,October,10,4,"167,022","377,249",2.26,526119.3
UA,United Air Lines,2010,November,11,4,"152,228","360,888",2.37,479518.2
