,CARRIER,CARRIER_NAME,MANUFACTURE_YEAR,OPERATING_STATUS,MANUFACTURER,MODEL,CAPACITY_IN_POUNDS,NO. AIRCRAFTS
83,AA,American Airlines Inc.,2017,Y,BOEING,B787-9,84600,10
84,AA,American Airlines Inc.,2018,Y,BOEING,B737-800MAX,42900,16
85,AA,American Airlines Inc.,2018,Y,BOEING,B787-9,84600,6
86,AA,American Airlines Inc.,2019,Y,AIRBUS,A321-253NX,52200,12
87,AA,American Airlines Inc.,2019,Y,BOEING,B737-800MAX,42900,6
88,AA,American Airlines Inc.,2019,Y,BOEING,B787-9,84600,2
89,AA,American Airlines Inc.,2020,Y,AIRBUS,A321-253NX,52200,16
90,AA,American Airlines Inc.,2020,Y,BOEING,B737-800MAX,42900,8
91,AA,American Airlines Inc.,2020,Y,BOEING,B787-8,84600,3
92,AS,Alaska Airlines Inc.,1999,Y,BOEING,B737-790ALLPAX,34900,1
93,AS,Alaska Airlines Inc.,1999,Y,BOEING,B737-790ALLPAX,35500,1
94,AS,Alaska Airlines Inc.,1999,Y,BOEING,B737-790ALLPAX,35600,2
95,AS,Alaska Airlines Inc.,1999,Y,BOEING,B737-790ALLPAX,35700,2
96,AS,Alaska Airlines Inc.,2000,Y,BOEING,B737-790ALLPAX,35500,1
97,AS,Alaska Airlines Inc.,2000,Y,BOEING,B737-790ALLPAX,35600,1
98,AS,Alaska Airlines Inc.,2000,Y,BOEING,B737-790ALLPAX,35700,1
99,AS,Alaska Airlines Inc.,2000,Y,BOEING,B737-790ALLPAX,36300,1
100,AS,Alaska Airlines Inc.,2001,Y,BOEING,B737-790ALLPAX,35500,3
101,AS,Alaska Airlines Inc.,2001,Y,BOEING,B737-990ALLPAX,42800,2
102,AS,Alaska Airlines Inc.,2001,Y,BOEING,B737-990ALLPAX,42881,1
103,AS,Alaska Airlines Inc.,2001,Y,BOEING,B737-990ALLPAX,43100,1
104,AS,Alaska Airlines Inc.,2001,Y,BOEING,B737-990ALLPAX,43400,1
105,AS,Alaska Airlines Inc.,2002,Y,BOEING,B737-990ALLPAX,43400,1
106,AS,Alaska Airlines Inc.,2003,Y,BOEING,B737-790ALLPAX,35700,1
107,AS,Alaska Airlines Inc.,2003,Y,BOEING,B737-990ALLPAX,42981,1
108,AS,Alaska Airlines Inc.,2003,Y,BOEING,B737-990ALLPAX,42982,1
109,AS,Alaska Airlines Inc.,2003,Y,BOEING,B737-990ALLPAX,43400,3
110,AS,Alaska Airlines Inc.,2004,Y,BOEING,B737-990ALLPAX,43400,1
111,AS,Alaska Airlines Inc.,2005,Y,BOEING,B737-890ALLPAX,42380,3
112,AS,Alaska Airlines Inc.,2006,Y,BOEING,B737-890ALLPAX,42380,12
113,AS,Alaska Airlines Inc.,2007,Y,BOEING,B737-890ALLPAX,42380,15
114,AS,Alaska Airlines Inc.,2008,Y,BOEING,B737-890ALLPAX,42380,13
115,AS,Alaska Airlines Inc.,2009,Y,BOEING,B737-890ALLPAX,42380,8
116,AS,Alaska Airlines Inc.,2010,Y,AIRBUS,A320,37189,2
117,AS,Alaska Airlines Inc.,2010,Y,BOEING,B737-890ALLPAX,42380,4
118,AS,Alaska Airlines Inc.,2011,Y,AIRBUS,A320,37189,12
119,AS,Alaska Airlines Inc.,2011,Y,BOEING,B737-890ALLPAX,42380,3
120,AS,Alaska Airlines Inc.,2012,Y,AIRBUS,A320,37189,6
121,AS,Alaska Airlines Inc.,2012,Y,BOEING,B737-890ALLPAX,42380,3
122,AS,Alaska Airlines Inc.,2012,Y,BOEING,B737-990ERALLPAX,52100,4
123,AS,Alaska Airlines Inc.,2013,Y,AIRBUS,A320,37189,1
124,AS,Alaska Airlines Inc.,2013,Y,BOEING,B737-990ERALLPAX,52100,9
125,AS,Alaska Airlines Inc.,2014,Y,BOEING,B737-990ERALLPAX,52100,10
126,AS,Alaska Airlines Inc.,2015,Y,BOEING,B737-990ERALLPAX,52100,11
127,AS,Alaska Airlines Inc.,2016,Y,BOEING,B737-990ERALLPAX,52100,19
128,AS,Alaska Airlines Inc.,2017,Y,AIRBUS,A321Neo,50369,4
129,AS,Alaska Airlines Inc.,2017,Y,BOEING,B737-990ERALLPAX,52100,14
130,AS,Alaska Airlines Inc.,2018,Y,AIRBUS,A321Neo,50369,4
131,AS,Alaska Airlines Inc.,2018,Y,BOEING,B737-990ERALLPAX,52100,8
132,AS,Alaska Airlines Inc.,2019,Y,AIRBUS,A321Neo,50369,2
133,AS,Alaska Airlines Inc.,2019,Y,BOEING,B737-990ERALLPAX,52100,4
134,B6,JetBlue Airways,1999,Y,AIRBUS,A320-232,37400,2
135,B6,JetBlue Airways,2000,Y,AIRBUS,A320-232,37400,8
136,B6,JetBlue Airways,2001,Y,AIRBUS,A320-232,37400,9
137,B6,JetBlue Airways,2002,Y,AIRBUS,A320-232,37400,8
138,B6,JetBlue Airways,2003,Y,AIRBUS,A320-232,37400,14
139,B6,JetBlue Airways,2004,Y,AIRBUS,A320-232,37400,16
140,B6,JetBlue Airways,2005,Y,AIRBUS,A320-232,37400,16
141,B6,JetBlue Airways,2005,Y,EMBRAER,E190-100,26200,8
142,B6,JetBlue Airways,2006,Y,AIRBUS,A320-232,37400,16
143,B6,JetBlue Airways,2006,Y,EMBRAER,E190-100,26200,15
144,B6,JetBlue Airways,2007,Y,AIRBUS,A320-232,37400,12
145,B6,JetBlue Airways,2007,Y,EMBRAER,E190-100,26200,7
146,B6,JetBlue Airways,2008,Y,AIRBUS,A320-232,38400,12
147,B6,JetBlue Airways,2008,Y,EMBRAER,E190-100,26200,4
148,B6,JetBlue Airways,2009,Y,AIRBUS,A320-232,38400,3
149,B6,JetBlue Airways,2009,Y,EMBRAER,E190-100,26200,6
150,B6,JetBlue Airways,2010,Y,EMBRAER,E190-100,26200,4
151,B6,JetBlue Airways,2011,Y,AIRBUS,A320-232,38300,4
152,B6,JetBlue Airways,2011,Y,EMBRAER,E190-100,25200,6
153,B6,JetBlue Airways,2012,Y,AIRBUS,A320-232,37400,7
